time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1766409054712000000,255.925,11.100000381469727,1,11.5,2.8289999961853027,2.585129737854004,353.613037109375,25,120.6884178,36.3607597
1766409055712000000,256.925,13.899999618530273,1.100000023841858,11.600000381469727,2.5789999961853027,2.575336217880249,358.4606018066406,24.8,120.6884172,36.3607843
1766409056712000000,257.925,12.699999809265137,1.2000000476837158,11.399999618530273,2.2939999103546143,2.563596248626709,356.22149658203125,24.4,120.6884177,36.3608104
1766409057712000000,258.925,9.100000381469727,1,11.199999809265137,2.0179998874664307,2.5622522830963135,13.83840560913086,24.5,120.6884189,36.3608367
1766409058712000000,259.925,11.199999809265137,1.100000023841858,11.199999809265137,1.6829999685287476,2.5658183097839355,353.5441589355469,24.5,120.688425,36.3608632
1766409059712000000,260.925,14.300000190734863,1.2000000476837158,11.600000381469727,1.6660000085830688,2.5695786476135254,356.6346435546875,24.5,120.6884218,36.3608888
1766409060712000000,261.925,11.600000381469727,1.2000000476837158,12,1.6829999685287476,2.605441093444824,359.7635498046875,24.4,120.6884212,36.3609152
1766409061712000000,262.925,9.300000190734863,1.100000023841858,11.300000190734863,1.6829999685287476,2.634446620941162,355.2416687011719,24.3,120.6884215,36.3609408
1766409062712000000,263.925,14.300000190734863,1.2000000476837158,12,1.6660000085830688,2.6913273334503174,3.8812673091888428,24.5,120.688422,36.360966
1766409063712000000,264.925,11.300000190734863,1.100000023841858,11.199999809265137,1.6660000085830688,2.7463386058807373,351.0787658691406,25.3,120.6884222,36.3609901
1766409064712000000,265.925,19.899999618530273,1.399999976158142,11.800000190734863,2.0329999923706055,2.7379980087280273,357.3919982910156,25.3,120.6884215,36.3610126
1766409065712000000,266.925,19.600000381469727,1.2000000476837158,11.399999618530273,2.4159998893737793,2.735403299331665,348.9571533203125,25.3,120.6884198,36.3610391
1766409066712000000,267.925,17.899999618530273,1.2999999523162842,12.100000381469727,2.4159998893737793,2.7577600479125977,348.990966796875,25.2,120.6884135,36.3610657
1766409067712000000,268.925,29.899999618530273,2.700000047683716,11.899999618530273,2.433000087738037,2.7180354595184326,358.69671630859375,25,120.6884027,36.3610923
1766409068712000000,269.925,21.299999237060547,1.7999999523162842,12.600000381469727,2.4660000801086426,2.687410831451416,5.448139190673828,24.5,120.6884032,36.3611167
1766409069712000000,270.925,17.600000381469727,1.899999976158142,11.699999809265137,2.5,2.7175705432891846,16.091089248657227,24.1,120.6884034,36.3611436
1766409070712000000,271.925,20.899999618530273,1.5,11.899999618530273,2.1500000953674316,2.642210006713867,7.088595867156982,24.1,120.688408,36.361168
1766409071712000000,272.925,23.399999618530273,2.0999999046325684,11.600000381469727,2.1500000953674316,2.624389171600342,358.48590087890625,23.8,120.6884091,36.3611928
1766409072712000000,273.925,29.899999618530273,2,11.899999618530273,2.5,2.6023268699645996,358.7165832519531,23.7,120.6884026,36.3612189
1766409073712000000,274.925,27.600000381469727,1.7000000476837158,11.899999618530273,2.8499999046325684,2.5312271118164062,8.4279146194458,24.8,120.6883999,36.3612406
1766409074712000000,275.925,14.300000190734863,1.600000023841858,11.300000190734863,2.8499999046325684,2.510089874267578,356.98944091796875,25.1,120.6883973,36.3612586
1766409075712000000,276.925,15.800000190734863,1.2999999523162842,10.899999618530273,3.200000047683716,2.5158255100250244,352.6163024902344,24.9,120.6883952,36.3612815
1766409076712000000,277.925,12.100000381469727,1.100000023841858,11.399999618530273,3.549999952316284,2.5135440826416016,0.4196030795574188,24.8,120.6883975,36.361307
1766409077712000000,278.925,17.100000381469727,1.5,10.899999618530273,3.549999952316284,2.558192014694214,341.56982421875,24.8,120.6883979,36.3613333
1766409078712000000,279.925,13.399999618530273,1.2999999523162842,11.399999618530273,3.1500000953674316,2.5918946266174316,338.5247497558594,24.5,120.6883884,36.3613597
1766409079712000000,280.925,9.5,0.8999999761581421,10.800000190734863,3.1500000953674316,2.5377695560455322,342.74200439453125,24.1,120.6883817,36.3613827
